Runner,Name,Age,Country,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
180,MAZÌ_R BÌäLA,34,HUN,7,7,8,6,7,7,7,6,7,6,7,7,4,5,5,5,3,4,4,4,4,5,2,2
181,SZÅêNYI FERENC,48,HUN,7,8,9,6,8,7,6,7,6,7,6,4,5,5,4,1,5,3,2,0,4,2,3,2
182,KISS ZSOLT,50,HUN,6,7,7,6,7,6,6,6,6,5,5,5,5,5,4,5,4,5,4,4,4,5,4,5
183,KÌÒNYA ÌÅKOS,38,HUN,7,7,8,6,7,5,6,4,5,4,4,8,3,4,3,3,2,4,5,5,5,6,5,9
184,SZITÌÒ ERVIN,38,HUN,6,7,7,5,6,6,5,5,5,4,4,5,3,4,1,4,3,3,3,4,3,4,2,4
185,LESI ZOLTÌÅN,35,HUN,6,6,8,5,7,6,6,6,6,5,4,5,4,2,0,4,4,1,3,2,5,3,3,7
186,GALLEN EDDIE,50,IRL,6,7,8,5,7,6,6,6,6,6,6,6,5,6,5,5,6,5,6,6,6,5,6,8
187,O‰ÛªREGAN JOHN,43,IRL,7,7,8,6,7,6,7,5,6,6,5,5,5,7,6,6,6,6,5,6,6,7,6,7
188,JULIUSSON GUNNLAUGUR,54,ISL,7,7,8,5,6,6,6,5,6,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0
189,ACCORSI ANDREA,45,ITA,7,7,8,6,7,7,6,6,6,7,6,6,5,6,6,6,5,6,6,6,6,5,6,6
190,BAGGI MARCO,47,ITA,6,7,8,6,6,7,6,7,6,6,5,6,5,5,5,4,5,4,5,5,3,4,4,6
191,BARICHELLO GASTONE,53,ITA,6,8,7,6,6,7,6,6,6,5,5,5,4,4,4,4,4,1,4,4,4,3,5,5
192,CUDIN IVAN,37,ITA,7,8,8,7,8,8,8,8,8,8,8,7,8,7,6,6,1,1,0,0,0,0,0,0
193,DI TOMA DIEGO,52,ITA,7,7,8,6,5,7,6,6,4,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0
194,INTINI VITO,44,ITA,7,7,7,6,7,6,6,6,5,5,7,3,4,5,5,5,4,4,3,3,6,3,4,8
195,MONTAGNER STEFANO,50,ITA,6,6,8,5,6,7,6,6,7,7,7,6,4,7,7,6,5,5,6,5,6,6,4,7
196,ROVERA PAOLO,38,ITA,7,7,8,6,8,7,7,7,6,7,7,6,6,6,7,6,6,6,6,6,6,6,5,7
